toplevelcustomerid,client_account_number,start_date,last_transaction_date,total_rev_monthly_avg,total_spend_monthly_avg,total_transactions_monthly_avg,churned,churn_prob,churn_prob_knn,churn_prob_rf
230845,AS60222357,2023-10-16,2023-12-30,35,382.0,4.0,0,1.0,1.0,0.4720280158754053
230846,AS60222358,2023-10-16,2024-01-15,4,171.0,2.0,0,0.0,0.0,0.17968615390565815
230847,AS60222359,2023-10-16,2024-02-27,15,1111.0,14.0,0,0.0,0.0,0.11683044823275286
230848,AS60222360,2023-10-16,2024-03-12,10,769.0,10.0,0,0.0,0.0,0.05056441749035847
230851,AS60222363,2023-10-16,2024-02-23,20,1536.0,22.0,0,0.0,0.0,0.1199550035324576
230852,AS60222364,2023-10-16,2024-03-08,9,621.0,7.0,0,0.0,0.0,0.10740362588558294
230853,AS60222365,2023-10-16,2024-03-12,20,379.0,5.0,0,0.0,0.0,0.07805180860255803
230854,AS60222366,2023-10-16,2023-12-12,64,86.0,4.0,1,1.0,1.0,0.9627754052957419
230855,AS60222367,2023-10-16,2024-02-12,0,32.0,0.0,0,0.0,0.0,0.14876334608959632
230856,AS60222368,2023-10-16,2024-03-06,12,158.0,10.0,0,0.0,0.3545395790973812,0.11603068244664064
230857,AS60222369,2023-10-16,2024-03-11,9,668.0,8.0,0,0.0,0.0,0.08676919749400164
230858,AS60222370,2023-10-16,2024-02-27,3,185.0,3.0,0,0.0,0.0,0.11367991128033174
230859,AS60222371,2023-10-16,2024-03-12,15,1171.0,24.0,0,0.0,0.0,0.05234040335266518
230860,AS60222372,2023-10-16,2024-02-18,2,172.0,4.0,0,0.0,0.0,0.1323548670445839
230862,AS60222374,2023-10-16,2023-11-15,116,244.0,30.0,1,0.9999999999950688,0.8015907626624859,0.9187810146597404
230863,AS60222375,2023-10-16,2024-03-12,21,1034.0,15.0,0,0.0,0.0,0.08423080494720049
230864,AS60222376,2023-10-16,2023-10-26,102,529.0,6.0,1,1.0,1.0,0.9627878250792486
230866,AS60222378,2023-10-16,2023-12-01,17,19.0,0.0,1,1.0,0.8144677565271045,0.9505328358542241
230867,AS60222379,2023-10-16,2024-02-28,86,4509.0,82.0,0,0.0,0.0,0.10585845567232487
230868,AS60222380,2023-10-16,2024-03-07,3,71.0,1.0,0,0.0,0.1693612188657808,0.12182131978067523
230869,AS60222381,2023-10-16,2023-11-10,23,1236.0,2.0,1,1.0,0.8274421903396066,0.9296547178933452
230870,AS60222382,2023-10-16,2024-02-28,1,45.0,1.0,0,0.0,0.0,0.12274761530682234
230871,AS60222383,2023-10-16,2024-01-03,32,1616.0,12.0,0,0.0,0.0,0.27509780820610896
