toplevelcustomerid,client_account_number,start_date,last_transaction_date,total_rev_monthly_avg,XGB_Preds,RNN_Preds
132008,AS60126802,2016-06-23,2024-03-09,150,120,63
132059,AS60126853,2016-06-24,2024-03-12,37,61,63
132068,AS60126862,2016-06-24,2024-03-12,16,33,63
132138,AS60126932,2016-06-27,2024-03-12,282,209,63
132156,AS60126950,2016-06-28,2024-03-10,49,59,63
132158,AS60126952,2016-06-28,2024-03-12,240,165,63
132184,AS60126978,2016-06-28,2024-03-12,544,348,63
132205,AS60126999,2016-06-29,2024-03-10,48,56,63
132235,AS60127029,2016-06-29,2024-03-12,138,108,63
132258,AS60127052,2016-06-30,2024-03-11,22,29,63
132273,AS60127067,2016-06-30,2024-03-12,505,327,63
132287,AS60127081,2016-07-01,2024-03-12,452,318,63
132316,AS60127110,2016-07-04,2024-03-12,299,204,63
132354,AS60127148,2016-07-05,2024-03-12,417,281,63
132380,AS60127174,2016-07-05,2024-03-12,244,171,63
132425,AS60127219,2016-07-07,2024-03-12,53,56,63
132437,AS60127231,2016-07-07,2024-03-12,121,100,63
132439,AS60127233,2016-07-07,2024-03-12,140,110,63
132545,AS60127339,2016-07-11,2024-03-12,860,581,63
132573,AS60127367,2016-07-12,2024-03-11,18,34,63
132574,AS60127368,2016-07-12,2024-03-12,9,28,63
132614,AS60127408,2016-07-13,2024-03-12,9,29,63
132686,AS60127480,2016-07-15,2024-03-11,34318,13914,63
132692,AS60127486,2016-07-15,2024-03-12,37,46,63
132707,AS60127501,2016-07-18,2024-03-12,120,100,63
132718,AS60127512,2016-07-18,2024-03-12,482,439,63
132732,AS60127526,2016-07-18,2024-03-12,16,33,63
132733,AS60127527,2016-07-18,2024-03-12,70,65,63
132741,AS60127535,2016-07-19,2024-03-11,759,2626,63
132767,AS60127561,2016-07-19,2024-03-11,41,49,63
132784,AS60127578,2016-07-19,2024-03-09,11,30,63
132796,AS60127590,2016-07-20,2024-03-14,39,50,63
132802,AS60127596,2016-07-20,2024-03-12,11,30,63
132816,AS60127610,2016-07-20,2024-03-11,103,88,63
132821,AS60127615,2016-07-20,2024-03-12,227,168,63
132835,AS60127629,2016-07-21,2024-03-12,63,63,63
132844,AS60127638,2016-07-21,2024-03-10,38,46,63
132850,AS60127644,2016-07-21,2024-03-09,18,34,63
132872,AS60127666,2016-07-21,2024-03-12,13,29,63
132881,AS60127675,2016-07-22,2024-03-12,50,68,63
132892,AS60127686,2016-07-22,2024-03-13,6,26,63
132905,AS60127699,2016-07-22,2024-03-12,74,67,63
132915,AS60127709,2016-07-22,2024-03-11,25,39,63
132938,AS60127732,2016-07-25,2024-03-13,94,86,63
132952,AS60127746,2016-07-26,2024-03-11,82,65,63
132969,AS60127763,2016-07-26,2024-03-12,51,57,63
132984,AS60127778,2016-07-26,2024-03-11,53,58,63
133004,AS60127798,2016-07-27,2024-03-12,41,48,63
133007,AS60127801,2016-07-27,2024-03-12,177,127,63
133020,AS60127814,2016-07-27,2024-03-12,1996,935,63
133023,AS60127817,2016-07-27,2024-03-12,189,150,63
133078,AS60127872,2016-07-29,2024-03-10,39,47,63
133093,AS60127887,2016-07-29,2024-03-12,139,113,63
133131,AS60127925,2016-08-01,2024-03-12,69,59,63
133134,AS60127928,2016-08-01,2024-03-12,123,103,63
133192,AS60127986,2016-08-02,2024-03-12,15,27,63
133193,AS60127987,2016-08-02,2024-03-12,49,55,63
133207,AS60128001,2016-08-03,2024-03-12,13,29,63
133235,AS60128029,2016-08-03,2024-03-14,362,254,63
133270,AS60128064,2016-08-04,2024-03-12,19,37,63
133327,AS60128121,2016-08-08,2024-03-13,36,48,63
133335,AS60128129,2016-08-08,2024-03-12,468,317,63
133363,AS60128157,2016-08-09,2024-03-12,479,359,63
133364,AS60128158,2016-08-09,2024-03-12,140,113,63
133368,AS60128162,2016-08-09,2024-03-12,433,316,63
133385,AS60128179,2016-08-09,2024-03-11,39,39,63
133387,AS60128181,2016-08-10,2024-03-12,115,95,63
133478,AS60128272,2016-08-12,2024-03-11,13,30,63
133482,AS60128276,2016-08-12,2024-03-12,18,39,63
133502,AS60128296,2016-08-12,2024-03-12,30,48,63
133529,AS60128323,2016-08-15,2024-03-12,41,47,63
133533,AS60128327,2016-08-15,2024-03-12,1884,1994,63
133596,AS60128390,2016-08-17,2024-03-12,108,94,63
133617,AS60128411,2016-08-17,2024-03-09,131,99,63
133618,AS60128412,2016-08-17,2024-03-11,89,80,63
133633,AS60128427,2016-08-18,2024-03-11,117,95,63
133653,AS60128447,2016-08-19,2024-03-12,583,345,63
133683,AS60128477,2016-08-22,2024-03-12,40,48,63
133707,AS60128501,2016-08-22,2024-03-11,91,85,63
133782,AS60128576,2016-08-24,2024-03-12,74,68,63
133796,AS60128590,2016-08-24,2024-03-10,43,52,63
133811,AS60128605,2016-08-24,2024-03-14,2234,995,63
133825,AS60128619,2016-08-25,2024-03-12,18,33,63
133924,AS60128718,2016-08-30,2024-03-12,55,59,63
133962,AS60128756,2016-08-31,2024-03-12,238,179,63
133983,AS60128777,2016-08-31,2024-03-12,600,605,63
133987,AS60128781,2016-09-01,2024-03-12,29,43,63
134052,AS60128846,2016-09-02,2024-03-10,33,43,63
134065,AS60128859,2016-09-02,2024-03-12,146,118,63
134111,AS60128905,2016-09-05,2024-03-12,1008,589,63
134119,AS60128913,2016-09-05,2024-03-12,8,28,63
134128,AS60128922,2016-09-05,2024-03-11,6,41,63
134131,AS60128925,2016-09-05,2024-03-12,332,236,63
134138,AS60128932,2016-09-06,2024-03-11,7,26,63
134188,AS60128982,2016-09-06,2024-03-12,163,124,63
134236,AS60129030,2016-09-07,2024-03-12,1,25,63
134245,AS60129039,2016-09-08,2024-03-12,51,55,63
134249,AS60129043,2016-09-08,2024-03-10,14,31,63
134258,AS60129052,2016-09-08,2024-03-12,50,55,63
134281,AS60129075,2016-09-08,2024-03-12,22,37,63
134294,AS60129088,2016-09-09,2024-03-12,51,54,63
134369,AS60129163,2016-09-13,2024-03-11,94,85,63
134385,AS60129179,2016-09-13,2024-03-14,47,52,63
134394,AS60129188,2016-09-14,2024-03-12,164,132,63
134405,AS60129199,2016-09-14,2024-03-12,89,80,63
134438,AS60129232,2016-09-15,2024-03-11,75,73,63
134469,AS60129263,2016-09-16,2024-03-11,43,50,63
134485,AS60129279,2016-09-16,2024-03-12,52,55,63
134557,AS60129351,2016-09-20,2024-03-14,637,459,63
134561,AS60129355,2016-09-20,2024-03-11,66,72,63
134569,AS60129363,2016-09-21,2024-03-12,129,109,63
134578,AS60129372,2016-09-21,2024-03-12,41,48,63
134600,AS60129394,2016-09-22,2024-03-12,30,44,63
134605,AS60129399,2016-09-22,2024-03-12,170,134,63
134621,AS60129415,2016-09-22,2024-03-12,579,378,63
134639,AS60129433,2016-09-23,2024-03-11,49,51,63
134641,AS60129435,2016-09-23,2024-03-12,20,38,63
134642,AS60129436,2016-09-23,2024-03-12,72,67,63
134689,AS60129483,2016-09-26,2024-03-11,32,43,63
134714,AS60129508,2016-09-27,2024-03-11,27,43,63
134766,AS60129560,2016-09-28,2024-03-12,17,33,63
134767,AS60129561,2016-09-28,2024-03-12,85,79,63
134806,AS60129600,2016-09-29,2024-03-11,38,49,63
134808,AS60129602,2016-09-29,2024-03-12,731,602,63
134810,AS60129604,2016-09-29,2024-03-12,204,158,63
134839,AS60129633,2016-09-29,2024-03-14,10,29,63
134872,AS60129666,2016-09-30,2024-03-14,18,33,63
134893,AS60129687,2016-10-03,2024-03-14,406,349,63
134910,AS60129704,2016-10-03,2024-03-12,254,184,63
134956,AS60129750,2016-10-04,2024-03-12,137,112,63
134974,AS60129768,2016-10-05,2024-03-11,57,59,63
134996,AS60129790,2016-10-05,2024-03-14,16,31,63
134998,AS60129792,2016-10-05,2024-03-12,116,97,63
135010,AS60129804,2016-10-05,2024-03-14,749,574,63
135053,AS60129847,2016-10-06,2024-03-11,305,45,63
135054,AS60129848,2016-10-06,2024-03-12,171,130,63
135123,AS60129917,2016-10-10,2024-03-12,108,94,63
135125,AS60129919,2016-10-10,2024-03-10,43,48,63
135142,AS60129936,2016-10-10,2024-03-11,84,79,63
135159,AS60129953,2016-10-11,2024-03-12,37,62,63
135185,AS60129979,2016-10-11,2024-03-12,230,161,63
135199,AS60129993,2016-10-12,2024-03-11,78,74,63
135259,AS60130053,2016-10-13,2024-03-11,19,35,63
135324,AS60130118,2016-10-14,2024-03-11,100,78,63
135402,AS60130196,2016-10-18,2024-03-12,750,503,63
135407,AS60130201,2016-10-18,2024-03-12,52,57,63
135410,AS60130204,2016-10-18,2024-03-11,59,61,63
135411,AS60130205,2016-10-18,2024-03-12,897,484,63
135442,AS60130236,2016-10-18,2024-03-12,62,62,63
135468,AS60130262,2016-10-19,2024-03-11,95,84,63
135493,AS60130287,2016-10-20,2024-03-12,89,83,63
135516,AS60130310,2016-10-20,2024-03-12,534,357,63
135540,AS60130334,2016-10-20,2024-03-12,46,54,63
135559,AS60130353,2016-10-21,2024-03-11,29,41,63
135560,AS60130354,2016-10-21,2024-03-13,24,39,63
135572,AS60130366,2016-10-21,2024-03-12,571,334,63
135574,AS60130368,2016-10-21,2024-03-11,23,38,63
135583,AS60130377,2016-10-21,2024-03-12,139,86,63
135605,AS60130399,2016-10-24,2024-03-12,146,129,63
135614,AS60130408,2016-10-24,2024-03-11,288,206,63
135664,AS60130458,2016-10-25,2024-03-12,368,318,63
135672,AS60130466,2016-10-25,2024-03-14,50,53,63
135682,AS60130476,2016-10-25,2024-03-12,367,251,63
135684,AS60130478,2016-10-25,2024-03-12,28,41,63
135710,AS60130504,2016-10-26,2024-03-13,985,3163,63
135755,AS60130549,2016-10-27,2024-03-14,55,60,63
135787,AS60130581,2016-10-28,2024-03-12,179,134,63
135830,AS60130624,2016-10-31,2024-03-12,373,261,63
135839,AS60130633,2016-10-31,2024-03-12,993,484,63
135848,AS60130642,2016-10-31,2024-03-12,254,194,63
135860,AS60130654,2016-10-31,2024-03-12,37,49,63
135865,AS60130659,2016-11-01,2024-03-12,98,84,63
135870,AS60130664,2016-11-01,2024-03-13,86,73,63
135921,AS60130715,2016-11-02,2024-03-11,81,75,63
135934,AS60130728,2016-11-02,2024-03-12,66,61,63
135940,AS60130734,2016-11-02,2024-03-12,480,348,63
135963,AS60130757,2016-11-02,2024-03-09,12,30,63
136023,AS60130817,2016-11-03,2024-03-12,105,91,63
136029,AS60130823,2016-11-03,2024-03-10,26,40,63
136040,AS60130834,2016-11-03,2024-03-11,16,32,63
136075,AS60130869,2016-11-04,2024-03-11,2,24,63
136102,AS60130896,2016-11-04,2024-03-12,20,34,63
136118,AS60130912,2016-11-07,2024-03-12,197,158,63
136151,AS60130945,2016-11-07,2024-03-12,24,38,63
136158,AS60130952,2016-11-07,2024-03-12,1955,644,63
136180,AS60130974,2016-11-08,2024-03-12,125,101,63
136253,AS60131047,2016-11-09,2024-03-12,159,131,63
136286,AS60131080,2016-11-10,2024-03-13,222,45,63
136309,AS60131103,2016-11-10,2024-03-11,9,28,63
136337,AS60131131,2016-11-11,2024-03-12,1004,655,63
136378,AS60131172,2016-11-14,2024-03-13,155,117,63
136379,AS60131173,2016-11-14,2024-03-12,83,78,63
136384,AS60131178,2016-11-14,2024-03-12,37,46,63
136388,AS60131182,2016-11-14,2024-03-09,43,51,63
136399,AS60131193,2016-11-14,2024-03-11,55,60,63
136405,AS60131199,2016-11-15,2024-03-12,405,286,63
136406,AS60131200,2016-11-15,2024-03-12,329,232,63
136452,AS60131246,2016-11-15,2024-03-11,129,97,63
136526,AS60131320,2016-11-16,2024-03-12,64,63,63
136528,AS60131322,2016-11-16,2024-03-12,43,47,63
136543,AS60131337,2016-11-17,2024-03-12,406,264,63
136547,AS60131341,2016-11-17,2024-03-12,293,205,63
136563,AS60131357,2016-11-17,2024-03-14,155,123,63
136574,AS60131368,2016-11-17,2024-03-11,56,57,63
136586,AS60131380,2016-11-17,2024-03-11,686,67,63
136598,AS60131392,2016-11-17,2024-03-11,83,76,63
